asset_target,task,model,accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,True
GLD_ret,regression,shock_main,-0.1083333333333332,0.0021656958090321,False
GLD_ret,regression,shock_interactions,-0.1416666666666666,0.0022886924594675,False
GLD_ret,regression,rag_memory,-0.0249999999999999,0.0006718214320077,False
GLD_ret,regression,shock_rag,-0.0749999999999999,0.0026138922056336,False
GLD_ret,regression,case_model,-0.0583333333333332,0.0005156231008802,False
GLD_ret,regression,fusion,-0.1083333333333332,0.0029317221711875,False
GLD_ret,regression,fusion_case,-0.0833333333333332,0.0021441305001746,False
QQQ_ret,regression,baseline,0.0,0.0,True
QQQ_ret,regression,shock_main,0.0337837837837837,0.0017381271274052,False
QQQ_ret,regression,shock_interactions,0.0,0.0020875098500045,False
QQQ_ret,regression,rag_memory,0.0878378378378378,3.69171777238244e-05,False
QQQ_ret,regression,shock_rag,0.0270270270270269,0.0019909519560014,False
QQQ_ret,regression,case_model,-0.0675675675675676,-0.0005541423208706,True
QQQ_ret,regression,fusion,0.0202702702702702,0.0038624474172277,False
QQQ_ret,regression,fusion_case,0.0202702702702702,0.0025835002783129,False
SPY_ret,regression,baseline,0.0,0.0,True
SPY_ret,regression,shock_main,-0.0675675675675675,0.0009360509099865,False
SPY_ret,regression,shock_interactions,-0.0675675675675675,0.0018930106706382,False
SPY_ret,regression,rag_memory,0.0270270270270269,4.266888252303126e-05,False
SPY_ret,regression,shock_rag,0.0135135135135134,0.0011025235035081,False
SPY_ret,regression,case_model,-0.1283783783783784,0.000460248447897,False
SPY_ret,regression,fusion,0.0,0.0018090077045496,False
SPY_ret,regression,fusion_case,-0.0405405405405405,0.0010713880710566,False
UUP_ret,regression,baseline,0.0,0.0,True
UUP_ret,regression,shock_main,0.02803738317757,0.0008316768411678,False
UUP_ret,regression,shock_interactions,0.02803738317757,0.0009551763346811,False
UUP_ret,regression,rag_memory,0.0,0.000380399052514,False
UUP_ret,regression,shock_rag,0.0093457943925233,0.0012597435495101,False
UUP_ret,regression,case_model,0.0186915887850466,4.614343255990999e-05,False
UUP_ret,regression,fusion,0.0,0.0013754754806146,False
UUP_ret,regression,fusion_case,-0.0093457943925233,0.0006539370347683,False
